Area,Frontage,Access Road,Floors,Bedrooms,Bathrooms,Legal status,Furniture state,Price,District
46.0,0.0,0.0,4.0,4.0,3.0,None,None,6.0,Hoàng Mai
38.0,0.0,3.0,4.0,4.0,3.0,None,None,5.9,Hoàng Mai
35.0,0.0,3.5,5.0,3.0,3.0,Have certificate,Full,5.45,Hoài Đức
50.0,0.0,0.0,5.0,4.0,4.0,Have certificate,Basic,7.4,Hai Bà Trưng
45.0,6.0,7.0,5.0,3.0,3.0,Have certificate,Full,9.3,Long Biên
55.0,0.0,5.0,4.0,4.0,4.0,Have certificate,None,9.5,Thanh Xuân
70.0,3.3,4.0,5.0,5.0,4.0,Have certificate,Full,6.85,Long Biên
35.0,3.8,3.0,4.0,3.0,4.0,Have certificate,Basic,6.0,Long Biên
40.0,3.5,2.0,4.0,4.0,3.0,Have certificate,Basic,5.0,Long Biên
65.0,4.5,3.0,4.0,4.0,4.0,Have certificate,None,9.3,Thanh Xuân
43.0,4.0,4.0,6.0,3.0,4.0,Have certificate,Basic,8.25,Long Biên
40.0,3.8,2.5,5.0,3.0,4.0,Have certificate,Full,5.75,Nam Từ Liêm
35.0,3.5,0.0,5.0,3.0,4.0,None,None,6.2,Bắc Từ Liêm
32.0,4.0,2.0,5.0,3.0,4.0,Have certificate,Full,5.45,Nam Từ Liêm
42.0,4.2,2.7,5.0,4.0,4.0,Have certificate,Full,5.8,Nam Từ Liêm
33.0,4.0,2.5,5.0,4.0,4.0,Have certificate,Full,5.2,Nam Từ Liêm
30.0,0.0,0.0,5.0,3.0,4.0,Have certificate,Basic,4.95,Long Biên
40.0,3.8,0.0,4.0,5.0,3.0,Have certificate,Full,5.2,Nam Từ Liêm
40.0,5.5,2.0,6.0,3.0,5.0,Have certificate,None,8.8,Hà Đông
38.0,3.5,2.5,5.0,4.0,4.0,Have certificate,None,6.25,Nam Từ Liêm
35.0,0.0,0.0,5.0,4.0,5.0,Have certificate,Full,5.7,Hà Đông
60.0,0.0,0.0,5.0,4.0,5.0,Have certificate,Full,9.4,Bắc Từ Liêm
38.0,0.0,2.4,6.0,3.0,5.0,Have certificate,Basic,8.2,Ba Đình
31.0,6.0,5.0,5.0,4.0,4.0,Have certificate,Full,6.9,Thanh Trì
35.0,3.5,4.0,3.0,4.0,2.0,Have certificate,Full,5.9,Hà Đông
